연  별,사과_면적 ,사과_생산량,사과_생산량(10a당),포도_면적,포도_생산량,포도_생산량(10a당),감_면적,감_생산량,감_생산량(10a당),배_면적,배_생산량,배_생산량(10a당),복숭아_면적,복숭아_생산량,복숭아_생산량(10a당),자두_면적,자두_생산량,자두_생산량(10a당),기타_면적,기타_생산량,기타_생산량(10a당)
2014,18811,292340,1554,8069,145403,1802,7574,145592,1922,1536,30859,2009,7903,121785,1541,4756,50176,1055,5448,34813,639
2015,19247,372627,1936,7714,143712,1863,7166,128412,1792,1422,24800,1744,8412,139134,1655,4933,54016,1096,5502,34388,625
2016,20083,367710,1831,7786,146564,1882,6625,118095,1783,1309,23664,1808,9288,154775,1666,5999,68689,1145,5969,33163,558
2017,20178,338034,1675,6809,108602,1595,6715,97386,1450,1287,28449,2211,9658,114007,1180,6208,56209,905,6032,27202,451
2018,19780,315230,1594,6769,95840,1416,6437,86537,1344,1223,19831,1622,9767,108693,1113,6090,46609,765,5897,23390,397
2019,19462,338085,1737,6773,88416,1305,6128,91937,1500,1165,21378,1835,9578,105669,1103,5885,43631,741,5046,17267,342
2020,18705,277942,1486,7202,90022,1250,5952,58195,978,1081,10796,999,9764,98440,1008,5997,42978,717,4961,29713,599
2021,20955,309034,1475,7258,91140,1256,5043,51863,1028,1106,22793,2060,9432,101503,1076,5391,43491,807,3902,23954,614
2022,20685,330532,1598,8203,104288,1271,5233,56372,1077,1005,27318,2719,10017,101250,1011,5376,45284,842,4815,17297,359
2023,20046,244990,1222,8308,108907,1311,5144,56721,1103,986,19855,2013,10002,95221,952,5232,41853,800,4831,15154,314
