Year,무,배추,깐마늘,양파,사과
2013,687.0,988.5,5117.5,1278.0,4439.4
2014,557.0,685.0,4180.0,589.0,4792.0
2015,495.0,556.8,5951.2,1060.0,3831.5
2016,1080.2,1438.2,7677.0,1101.0,3625.8
2017,851.2,1420.0,6721.0,1234.0,3700.6
2018,1110.2,1375.2,6356.0,819.2,3898.4
2019,703.1,1247.8,4805.0,603.0,3703.2
2020,1033.0,1965.0,5331.0,1071.0,5666.2
2021,596.8,973.0,7639.0,1143.0,5002.0
2022,1334.2,1986.1,8407.0,1166.2,4636.9
2023,922.1,1545.0,7137.0,1413.9,6335.4
2024,1324.8,2217.0,6878.0,1344.9,7924.1
2025,687.0,1721.0,7963.0,1278.0,8590.0
